Name,Chr:bp,Genomic size (bp),Class,Source Study,Study description
nsv1940146,19:13399395-13399423,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv134921,19:13399424-13399424,-,insertion,DGVa:nstd6,"Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
esv2066517,19:13399435-13399437,3,CNV,DGVa:estd194,"Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
nsv1940363,19:13399435-13399446,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv2600505,19:13399445-13399446,2,CNV,DGVa:estd197,"Database of Genomic Variants Archive: McKernan 2009 ""Sequence and structural variation in a human genome uncovered by short-read, massively parallel ligation sequencing using two-base encoding"" PMID:19546169"
nsv1940839,19:13400196-13400214,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv3219678,19:13402381-13402382,2,CNV,DGVa:estd209,"Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
esv2962860,19:13402534-13402534,-,insertion,DGVa:estd209,"Database of Genomic Variants Archive: Pang 2013b ""Performance of High-Throughput Sequencing for the Discovery of Genetic Variation Across the Complete Size Spectrum."" PMID:24192839"
esv1628694,19:13402916-13402916,-,insertion,DGVa:estd22,"Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
nsv1940840,19:13403772-13403795,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1941538,19:13403957-13403971,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1941539,19:13404170-13404182,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv2005015,19:13404184-13404188,5,CNV,DGVa:estd194,"Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
nsv1940147,19:13404190-13404206,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1941540,19:13404886-13404913,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940841,19:13405360-13405385,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv1066523,19:13406510-13406512,3,CNV,DGVa:estd22,"Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
nsv1941541,19:13406934-13406959,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv2592377,19:13407969-13407969,1,CNV,DGVa:estd197,"Database of Genomic Variants Archive: McKernan 2009 ""Sequence and structural variation in a human genome uncovered by short-read, massively parallel ligation sequencing using two-base encoding"" PMID:19546169"
nsv1398393,19:13408530-13493692,"85,163",CNV,DGVa:nstd102,Database of Genomic Variants Archive: Structural Variants submitted to ClinVar by external labs
esv2586107,19:13409316-13409318,3,CNV,DGVa:estd197,"Database of Genomic Variants Archive: McKernan 2009 ""Sequence and structural variation in a human genome uncovered by short-read, massively parallel ligation sequencing using two-base encoding"" PMID:19546169"
nsv136260,19:13409316-13409318,3,CNV,DGVa:nstd6,"Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
esv2271808,19:13409316-13409319,4,CNV,DGVa:estd194,"Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
nsv136261,19:13409377-13409380,4,CNV,DGVa:nstd6,"Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
esv2413198,19:13409377-13409381,5,CNV,DGVa:estd194,"Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
nsv1940148,19:13409377-13409411,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940364,19:13409535-13409554,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940843,19:13410516-13410557,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1941542,19:13411668-13411714,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv3643722,19:13411953-13413343,"1,391",CNV,DGVa:estd214,Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Phase 3
nsv1940149,19:13412470-13412495,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940365,19:13413094-13413123,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940844,19:13413717-13413732,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940845,19:13413879-13413946,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv3445483,19:13413882-13413920,39,CNV,DGVa:estd59,Database of Genomic Variants Archive: 1000 Genomes Project Consortium - Pilot Project. PMID:20981092
esv1374589,19:13413895-13413915,21,CNV,DGVa:estd22,"Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
nsv1125668,19:13413895-13413990,96,tandem duplication,DGVa:nstd106,"Database of Genomic Variants Archive: Alsmadi 2014 ""Comprehensive analysis of two personal genomes of Saudi arabian ancestry from Kuwait"""
nsv1940150,19:13414980-13414995,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv1488066,19:13415533-13415533,-,insertion,DGVa:estd22,"Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
esv1356413,19:13415768-13415773,6,CNV,DGVa:estd22,"Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
nsv1940366,19:13418891-13418911,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv2466406,19:13419913-13419914,2,CNV,DGVa:estd197,"Database of Genomic Variants Archive: McKernan 2009 ""Sequence and structural variation in a human genome uncovered by short-read, massively parallel ligation sequencing using two-base encoding"" PMID:19546169"
esv2299367,19:13419913-13419915,3,CNV,DGVa:estd194,"Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
nsv1940367,19:13423496-13423527,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv1344393,19:13423561-13423561,-,insertion,DGVa:estd22,"Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
nsv133453,19:13423696-13423696,-,insertion,DGVa:nstd6,"Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
esv3583256,19:13423850-13442128,"18,279",CNV,DGVa:estd212,"Database of Genomic Variants Archive: Uddin 2014 ""We have genotyped a large population control set (1,000 individuals from our Ontario Population Genomics Platform (OPGP)) using the Affymetrix CytoScan HD microarray comprising 2.7 million probes. Four independent algorithms were applied to detect and assess high confidence CNVs. Reproducibility and validations were quantified using sample replicates and Quantitative-PCR (QPCR), respectively."""
nsv1941543,19:13424193-13424222,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1941544,19:13424368-13424391,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940152,19:13426057-13426076,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv3583257,19:13426795-13442128,"15,334",CNV,DGVa:estd212,"Database of Genomic Variants Archive: Uddin 2014 ""We have genotyped a large population control set (1,000 individuals from our Ontario Population Genomics Platform (OPGP)) using the Affymetrix CytoScan HD microarray comprising 2.7 million probes. Four independent algorithms were applied to detect and assess high confidence CNVs. Reproducibility and validations were quantified using sample replicates and Quantitative-PCR (QPCR), respectively."""
esv3583255,19:13426795-13442383,"15,589",CNV,DGVa:estd212,"Database of Genomic Variants Archive: Uddin 2014 ""We have genotyped a large population control set (1,000 individuals from our Ontario Population Genomics Platform (OPGP)) using the Affymetrix CytoScan HD microarray comprising 2.7 million probes. Four independent algorithms were applied to detect and assess high confidence CNVs. Reproducibility and validations were quantified using sample replicates and Quantitative-PCR (QPCR), respectively."""
nsv1940846,19:13427454-13427496,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv1568820,19:13427496-13427496,-,insertion,DGVa:estd22,"Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
nsv134916,19:13427497-13427497,-,insertion,DGVa:nstd6,"Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
nsv1941545,19:13427618-13427629,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1941546,19:13427775-13427807,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv1919403,19:13428208-13428209,2,CNV,DGVa:estd194,"Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
nsv1940368,19:13429168-13429207,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv1046187,19:13429199-13429207,9,CNV,DGVa:estd22,"Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
nsv1940369,19:13430205-13430218,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv1036603,19:13430218-13430218,-,insertion,DGVa:estd22,"Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
esv1616082,19:13432125-13432126,2,CNV,DGVa:estd22,"Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
nsv1940847,19:13432417-13432451,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv1616483,19:13433310-13433311,2,CNV,DGVa:estd22,"Database of Genomic Variants Archive: Levy 2007 ""The diploid genome sequence of an individual human."" PMID:17803354"
nsv1940848,19:13434788-13434807,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1941547,19:13435095-13435105,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1159036,19:13435281-13435281,-,translocation,DGVa:nstd106,"Database of Genomic Variants Archive: Alsmadi 2014 ""Comprehensive analysis of two personal genomes of Saudi arabian ancestry from Kuwait"""
nsv1941548,19:13435281-13435295,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940154,19:13435824-13435842,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv134733,19:13437701-13437702,2,CNV,DGVa:nstd6,"Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
esv7746,19:13438354-13438511,158,CNV,DGVa:estd19,"Database of Genomic Variants Archive: Ahn 2009 ""The first Korean genome sequence and analysis"" PMID:19470904"
nsv1940155,19:13439109-13439126,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940156,19:13439400-13439419,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940370,19:13439567-13439584,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940157,19:13440798-13440832,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv2408065,19:13441347-13441348,2,CNV,DGVa:estd194,"Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
nsv135079,19:13441675-13441675,-,insertion,DGVa:nstd6,"Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
nsv135342,19:13441686-13441686,-,insertion,DGVa:nstd6,"Database of Genomic Variants Archive: Mills 2006 ""An initial map of insertion and deletion (INDEL) variation in the human genome."" PMID:16902084"
nsv1940158,19:13443044-13443070,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940159,19:13443339-13443361,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940849,19:13443642-13443665,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1941549,19:13444337-13444359,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1941550,19:13445141-13445157,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940160,19:13445559-13445573,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940850,19:13446410-13446423,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940161,19:13446761-13446774,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv1959918,19:13448083-13448084,2,CNV,DGVa:estd194,"Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
nsv1941551,19:13448083-13448097,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
esv2112150,19:13448098-13448099,2,CNV,DGVa:estd194,"Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
nsv1940162,19:13448963-13448981,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1941552,19:13449294-13449310,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv3109808,19:13450201-13493937,"43,737",CNV,DGVa:nstd37,"Database of Genomic Variants Archive: Miller 2010 ""Consensus statement: chromosomal microarray is a first-tier clinical diagnostic test for individuals with developmental disabilities or congenital anomalies."" PMID:20466091"
esv2588959,19:13451859-13451859,1,CNV,DGVa:estd197,"Database of Genomic Variants Archive: McKernan 2009 ""Sequence and structural variation in a human genome uncovered by short-read, massively parallel ligation sequencing using two-base encoding"" PMID:19546169"
esv2344116,19:13451859-13451860,2,CNV,DGVa:estd194,"Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
esv2198737,19:13451869-13451870,2,CNV,DGVa:estd194,"Database of Genomic Variants Archive: Bentley 2008 ""Accurate whole human genome sequencing using reversible terminator chemistry"" PMID:18987734"
nsv1940373,19:13456152-13456194,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1940374,19:13456879-13456895,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1941553,19:13457255-13457283,-,short tandem repeat variation,DGVa:nstd128,"Database of Genomic Variants Archive: Mallick 2016 ""We report high quality genomes from 300 individuals from 142 diverse populations. As part of this study, we generated a comprehensive catalog of short tandem repeat (STR) genotypes. We used this call set to characterize allele frequency spectra, analyze sequence determinants of STR variation, and to identify common loss of function alleles."""
nsv1195676,19:13458605-14526192,"1,067,588",CNV,DGVa:nstd113,"Database of Genomic Variants Archive: Polyak 2015 ""Copy Number Variant calls for 8,373 individuals (16,828 calls) with intellectual disability/developmental delay and/or autism from Signature Genomics Laboratories LLC. Please note that this study may contain samples in common with [nstd54|/dbvar/studies/nstd54/] and [nstd100|/dbvar/studies/nstd100/]. Due to differences in the analysis please use samplesets from only one of these submissions."""
nsv1062073,19:13460007-13679642,"219,636",CNV,DGVa:nstd100,"Database of Genomic Variants Archive: Coe 2014 ""Refining analyses of copy number variation identifies specific genes associated with developmental delay."" PMID:25217958"
